"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
0,0,0,0
0.05,1.34567401598113e-05,0.614243144930318,-0.614256601670479
0.1,1.56155924012562e-05,1.23159135442666,-1.23160697001906
0.15,1.77744446427011e-05,1.848939563923,-1.84895733836765
0.2,1.9933296884146e-05,2.46628777341935,-2.46630770671624
0.25,2.20921491255909e-05,3.08363598291569,-3.08365807506482
0.3,2.42510013670358e-05,3.70098419241203,-3.70100844341341
0.35,0.0452012139659269,4.35392751848746,-4.39912873245338
0.4,0.9208442587286,5.50638492726338,-6.42722918599198
0.45,1.53058842881448,6.6938271392144,-8.22441556802889
0.5,1.80740134576237,7.76637343786393,-9.57377478362632
0.55,1.61115910392261,8.8047084835003,-10.4158675874229
0.6,0.834493601617831,10.0700682841188,-10.9045618857367
0.65,-0.361522839479821,11.8955819596015,-11.5340591201217
0.7,-1.53643663965494,14.2545373102452,-12.7181006705903
0.75,-2.43685328247103,16.6340616650715,-14.1972083826004
0.8,-3.51319555759647,18.7403633689026,-15.2271678113062
0.85,-5.17083530183973,20.581499861377,-15.4106645595374
0.9,-7.59230630191231,22.4147514817045,-14.8224451797923
0.95,-10.492797119972,24.5698281378173,-14.0770310178454
1,-13.0756180108342,26.8513298414289,-13.7757118305947
1.05,-14.9297063899427,28.7784324826138,-13.8487260926711
1.1,-16.121894608777,30.7696053153981,-14.6477107066212
1.15,-17.3276174178806,32.3927526087849,-15.0651351909042
1.2,-18.8345036179948,33.3597802369935,-14.5252766189986
1.25,-20.9392512521318,33.9385865896558,-12.999335337524
1.3,-23.5750564739068,34.3272025983899,-10.7521461244832
1.35,-25.9373956338721,34.8984732572578,-8.96107762338561
1.4,-28.0091246594234,35.7516393941182,-7.74251473469486
1.45,-30.1443194399237,36.944074410128,-6.79975497020426
1.5,-32.066495930715,37.5970130330835,-5.53051710236854
1.55,-33.9891551697659,37.7976746456445,-3.80851947587853
1.6,-36.0112985365765,37.0637823327592,-1.05248379618258
1.65,-38.5042118917294,35.5415942544613,2.96261763726804
1.7,-41.5631899925791,34.1523051042093,7.41088488836982
1.75,-44.721674854524,34.0626838789947,10.6589909755294
1.8,-47.7487825256309,34.4676011685311,13.2811813570999
1.85,-49.4853751239488,33.9977150368535,15.4876600870953
1.9,-49.9188239404647,32.3587478104444,17.5600761300203
1.95,-49.2796638488422,29.4447639852302,19.834899863612
2,-48.2320363016173,25.381762576079,22.8502737255383
2.05,-48.4719428052691,21.0641230166657,27.4078197886035
2.1,-50.5487342094231,17.9094321027896,32.6393021066334
2.15,-52.6959727854405,15.7867206328461,36.9092521525944
2.2,-53.327810817534,14.0601547516876,39.2676560658464
2.25,-52.6301470579129,12.1561958550515,40.4739512028614
2.3,-50.628792241852,9.70484494176972,40.9239473000823
2.35,-47.6204653351542,6.18533039980196,41.4351349353522
2.4,-44.1416050618466,1.06248951570523,43.0791155461414
2.45,-41.4875206468904,-4.40474346498465,45.892264111875
2.5,-39.9045730624528,-8.42110727283389,48.3256803352866
2.55,-38.8095288356149,-10.7456062082191,49.555135043834
2.6,-37.6385458412036,-12.2198144477195,49.8583602889232
2.65,-36.317843716295,-13.4084346794772,49.7262783957722
2.7,-34.6222391306438,-14.7943197706627,49.4165589013064
2.75,-31.4669071227236,-17.1539547996803,48.6208619224038
2.8,-26.7644867930292,-20.8521211742036,47.6166079672328
2.85,-21.9268624427737,-24.3235511913138,46.2504136340875
2.9,-18.0144587017394,-26.536050154194,44.5505088559334
2.95,-14.8372499113191,-27.8226550559474,42.6599049672665
3,-11.9922049755724,-28.1818789337886,40.174083909361
3.05,-8.84245058294372,-28.1067759621354,36.9492265450791
3.1,-4.80865496747735,-28.1997973584428,33.0084523259202
3.15,1.49010833669576,-30.1751107093573,28.6850023726615
3.2,6.55321898204094,-32.4240630099523,25.8708440279113
3.25,8.76143926509948,-33.3206644791213,24.5592252140219
3.3,9.64743428152766,-32.9634443028563,23.3160100213287
3.35,10.0581203734327,-31.7118611404924,21.6537407670598
3.4,10.3483067737256,-29.8117781645482,19.4634713908226
3.45,10.9295517440009,-27.4942372795662,16.5646855355653
3.5,11.8727567358608,-25.1552044583328,13.282447722472
3.55,12.8828198622612,-23.6627709050861,10.7799510428249
3.6,13.5044020710612,-23.0407654757266,9.53636340466536
3.65,13.6411627671878,-22.1716189578039,8.53045619061618
3.7,13.3176308383696,-20.5643035565457,7.24667271817621
3.75,12.6977780918831,-18.2531556800286,5.55537758814556
3.8,11.9375250298717,-15.303480086883,3.36595505701128
3.85,12.4424168969724,-13.300662563759,0.858245666786541
3.9,14.342228000689,-12.9759082560423,-1.36631974464671
3.95,15.6778219721479,-12.7725423893375,-2.90527958281046
4,15.7725533659024,-11.9924981539441,-3.78005521195834
4.05,14.7100993929334,-10.4464600527044,-4.26363934022906
4.1,13.0327618299284,-8.18507663254663,-4.84768519738175
4.15,12.0492985132086,-5.87070510567135,-6.17859340753731
4.2,13.0094227382453,-4.42337698178839,-8.58604575645685
4.25,14.615009300148,-3.70522955670272,-10.9097797434453
